dacr,drools-scripting,2
davidledwards,scalop,2
jelly-rdf,jelly-jvm,2
trace4cats,trace4cats-newrelic,2
karazinscalausersgroup,circe-literal-extras,2
pityka,pairwisealignment,2
swagger-akka-http,swagger-enumeratum-module,2
trace4cats,trace4cats-exporter-http,2
ohze,sd-util,2
marcinzh,yamlike,2
sangria-graphql,sangria-argonaut,2
losizm,little-json,2
rssh,shim--scala-async--dotty-cps-async,2
trace4cats,trace4cats-http4s,2
lhns,http4s-errors,2
sweet-delights,delightful-cron,2
polyvariant,scodec-java-classfile,2
losizm,little-time,2
bilal-fazlani,akka-http-jwt-auth,2
shiftleftsecurity,overflowdb-codegen,2
polyvariant,caliban-gitlab,2
bcarter97,id-generator,2
trace4cats,trace4cats-cloudtrace,2
fommil,jzon,2
gemini-hlsw,lucuma-refined,2
kierendavies,skunk-migrate,2
lhns,http4s-spa,2
scala-works,scala-cmd,2
fgrutsch,akka-persistence-mapdb,2
johnspade,tgbot-utils,2
typelevel,scalac-compat,2
lhns,http4s-jwt-auth,2
delimobil,fs2-hbase,2
rtyley,scala-textmatching,2
kovacshuni,circe-config,2
qwbarch,snowflake4s,2
lhns,fs2-compress,2
xuwei-k,wartremover-scalikejdbc,2
jkobejs,cron,2
vlmiroshnikov,aero3,2
rustedbones,scout,2
akka,akka-diagnostics,2
mrdimosthenis,scala-synapses,2
sciss,scala-chart,2
fiatjaf,scoin,2
beangle,commons,2
pme123,camundala-dsl,2
errors4s,errors4s-core,2
swaldman,untemplate,2
geirolz,fluent-copy,2
linyxus,papiers-core,2
http4s,http4s-jetty,2
davenverse,condemned,2
gemini-hlsw,lucuma-graphql-routes,2
davenverse,fiberlocal,2
sciss,equal,2
bilal-fazlani,swiftbar4s,2
scalatest,scalatestplus-easymock,2
taig,flog,2
hnaderi,named-codec,2
davenverse,env,2
molarmanful,sclin,2
beangle,webmvc,2
pjfanning,scala-faker,2
sideeffffect,zio-doobie,2
sideeffffect,zio-testcontainers,2
alejandrohdezma,sbt-propagate,1
sweet-delights,delightful-parsing,1
hireproof,screening,1
trace4cats,trace4cats-zipkin,1
cchantep,play-reactivemongo,1
losizm,little-sql,1
narma,tranzactio,1
davenverse,epimetheus-log4cats,1
armanbilge,litter,1
emartech,escher-akka-http,1
jwojnowski,oidc4s,1
trace4cats,trace4cats-avro-kafka,1
pureharm,pureharm-effects-cats,1
losizm,little-config,1
benhutchison,gesture,1
raistlintao,scalalogger,1
jkugiya,ulid-scala,1
snowplow,iglu-scala-core,1
mvv,typine,1
pjfanning,akka-rabbitmq,1
trace4cats,trace4cats-xray,1
rtyley,scala-collection-plus,1
armanbilge,cheshire,1
rtyley,rate-limit-status,1
kiberstender,fjwt,1
sangria-graphql,sangria-json4s-jackson,1
pureharm,pureharm-json-circe,1
jkugiya,aws-v4-signer-scala,1
sangria-graphql,sangria-json4s-native,1
ssanj,delight,1
nicolasfara,ecscala,1
kzmake,uuid7s,1
losizm,t2,1
jphmrst,scala-latex,1
davenverse,publicsuffix,1
eltherion,http4s-timer,1
caspercommunityio,casper-scala-sdk,1
palanga,parana,1
nafg,cloud-logging-logback-scala,1
pureharm,pureharm-config-ciris,1
scala-works,scala-macros,1
cornerman,simple-scalajs-requests,1
